Date,SPY,AGG,Lega,Ten,Bund
2015-05-18,180.44131469726562,85.61787414550781,450.7386,121.625,131.92
2015-05-19,180.38201904296875,85.3215103149414,446.9813,121.28125,132.3
2015-05-20,180.25498962402344,85.45409393310547,446.311,121.515625,132.08
2015-05-21,180.780029296875,85.71929168701172,447.2028,121.96875,132.01
2015-05-22,180.34812927246094,85.62566375732422,445.3766,121.53125,132.41
2015-05-25,,,445.3592,,132.41
2015-05-26,178.4091339111328,85.83627319335938,443.5974,122.15625,133.18
2015-05-27,180.10263061523438,85.92208099365234,443.0056,122.140625,133.12
2015-05-28,179.89938354492188,85.8908462524414,443.1552,122.28125,133.31
2015-05-29,178.7816925048828,85.92208099365234,444.4316,122.5625,133.84
2015-06-01,179.14581298828125,85.68453216552734,442.0189,121.78125,133.65
2015-06-02,178.968017578125,85.3485107421875,443.2151,121.1875,131.4
2015-06-03,179.44215393066406,85.01253509521484,442.4974,120.359375,129.27
2015-06-04,177.92645263671875,85.1922836303711,442.9268,120.8125,129.65
2015-06-05,177.62167358398438,84.81720733642578,438.8867,119.984375,129.83
2015-06-08,176.52931213378906,84.94221496582031,440.04,120.21875,129.18
2015-06-09,176.50392150878906,84.70000457763672,440.5017,119.984375,128.16
2015-06-10,178.62083435058594,84.4889907836914,441.561,119.53125,127.73
2015-06-11,179.1965789794922,84.94221496582031,441.6343,120.234375,129.14
2015-06-12,177.82484436035156,84.8406753540039,442.6189,120.1875,129.79
2015-06-15,177.0627899169922,84.94221496582031,442.0653,120.46875,130.02
2015-06-16,178.0281219482422,85.0828857421875,442.4678,120.78125,130.18
2015-06-17,178.31600952148438,85.09066772460938,442.2161,121.046875,130.18
2015-06-18,180.1703338623047,85.06724548339844,445.332,120.734375,130.22
2015-06-19,179.3705596923828,85.33287811279297,445.6279,121.453125,130.79
2015-06-22,180.2894287109375,84.91094970703125,444.823,120.703125,129.11
2015-06-23,180.41712951660156,84.71559143066406,441.4296,120.328125,129.44
2015-06-24,179.1067657470703,84.84844207763672,441.4628,120.609375,129.83
2015-06-25,178.56219482421875,84.75469207763672,441.641,120.453125,129.62
2015-06-26,178.52813720703125,84.55152893066406,439.7314,119.890625,128.94
2015-06-29,174.78440856933594,85.05155944824219,442.1379,121.078125,130.52
2015-06-30,175.1502685546875,84.99691772460938,442.485,121.046875,130.75
2015-07-01,176.55416870117188,84.78242492675781,440.3397,120.34375,130.31
2015-07-02,176.39248657226562,84.89982604980469,440.0089,120.75,129.79
2015-07-03,,,440.6946,,130.55
2015-07-06,175.89047241210938,85.20516967773438,441.423,121.640625,130.92
2015-07-07,176.99664306640625,85.3226318359375,441.1482,122.0,132.65
2015-07-08,174.02711486816406,85.5261459350586,443.443,122.25,131.97
2015-07-09,174.3419189453125,85.21295928955078,441.9061,121.546875,131.4
2015-07-10,176.53717041015625,84.85284423828125,440.8993,120.609375,129.45
2015-07-13,178.48565673828125,84.72759246826172,438.7611,120.46875,129.87
2015-07-14,179.2599334716797,84.86854553222656,439.2163,120.8125,130.13
2015-07-15,179.20037841796875,85.09552001953125,439.2779,121.21875,130.95
2015-07-16,180.6383056640625,85.16600799560547,438.7952,121.046875,130.82
2015-07-17,180.79148864746094,85.17383575439453,438.8739,121.0,131.4
2015-07-20,180.88502502441406,85.02510070800781,438.6191,120.765625,131.65
2015-07-21,180.17037963867188,85.16600799560547,439.7507,121.078125,131.5
2015-07-22,179.8470001220703,85.20516967773438,439.7815,121.1875,131.96
2015-07-23,178.83445739746094,85.4478530883789,440.9076,121.484375,131.88
2015-07-24,176.97962951660156,85.43219757080078,441.3035,121.59375,132.6
2015-07-27,175.95001220703125,85.54175567626953,443.5573,122.03125,132.65
